Title,Years,Certification,Runtime,Rating,Number of Votes,Emmys,Creators,Actors,Genres,Countries of origins,Languages,Production companies,Link
Queen Cleopatra,"(2023, None)",TV-14,45.0,1.2,86000,0,,"Jada Pinkett Smith, Adele James, Craig Russell, John Partridge, Andira Crichlow, Kaysha Woollery, Laya Lewis, Callum Balmforth, Louis Emerick, Phillip E. Walker, Michael Greco, Greg Lockett, James Marlowe, Simon Kunz, James O'Driscoll, Shelley Haley, Debora Heard, Islam Issa","Documentary, Drama, History",United Kingdom,English,Nutopia,https://www.imdb.com/title/tt27528139/?ref_=sr_i_1138
Velma,"(2023, 2024)",TV-MA,25.0,1.6,80000,0,Charlie Grandy,"Mindy Kaling, Glenn Howerton, Sam Richardson, Constance Wu, Jane Lynch, Melissa Fumero, Russell Peters, Wanda Sykes, Sarayu Blue, Kari Wahlgren, Fortune Feimster, Gary Cole, Frank Welker, Kulap Vilaysack, Nicole Byer, Cherry Jones, Sara Ramirez, Debby Ryan","Animation, Adventure, Comedy, Crime, Horror, Mystery","United States, South Korea",English,"Charlie Grandy Productions, Kaling International, 3 Arts Entertainment",https://www.imdb.com/title/tt14153790/?ref_=sr_i_1137
Keeping Up with the Kardashians,"(2007, 2021)",TV-14,44.0,2.9,32000,0,"Ryan Seacrest, Eliot Goldberg","Khloé Kardashian, Kim Kardashian, Kourtney Kardashian, Kris Jenner, Kendall Jenner, Kylie Jenner, Caitlyn Jenner, Scott Disick, Rob Kardashian, Mason Dash Disick, Stephanie Suganami, Ye, Malika Haqq, Lamar Odom, Penelope Scotland Disick, Jonathan Cheban, North West, Corey Gamble","Family, Reality-TV",United States,"English, Spanish","Bunim-Murray Productions (BMP), Ryan Seacrest Productions",https://www.imdb.com/title/tt1086761/?ref_=sr_i_1136
Batwoman,"(2019, 2022)",TV-14,45.0,3.6,47000,0,Caroline Dries,"Camrus Johnson, Rachel Skarsten, Meagan Tandy, Nicole Kang, Dougray Scott, Javicia Leslie, Rachel Maddow, Ruby Rose, Allison Riley, Sam Littlefield, Nathan Owens, Robin Givens, Christina Wolfe, Jesse Hutch, Elizabeth Anweis, Nick Creegan, Peter Outerbridge, Gracyn Shinyei","Action, Adventure, Crime, Drama, Sci-Fi",United States,English,"Berlanti Productions, DC Entertainment, Warner Bros. Television",https://www.imdb.com/title/tt8712204/?ref_=sr_i_1135
The Acolyte,"(2024, None)",TV-14,35.0,4.1,125000,0,Leslye Headland,"Lee Jung-jae, Amandla Stenberg, Manny Jacinto, Charlie Barnett, Dafne Keen, Rebecca Henderson, Joonas Suotamo, Leah Brady, Jodie Turner-Smith, Dean-Charles Chapman, Carrie-Anne Moss, Lauren Brady, Margarita Levieva, Harry Trevaldwyn, Amy Tsang, Abigail Thorn, Saskia Allen, Deborah Rosan","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",United States,English,"Lucasfilm, Disney+, The Walt Disney Company",https://www.imdb.com/title/tt12262202/?ref_=sr_i_1134
Resident Evil,"(2022, None)",TV-MA,60.0,4.2,47000,0,,"Ella Balinska, Tamara Smart, Siena Agudong, Adeline Rudolph, Paola Núñez, Lance Reddick, Connor Gosatti, Anthony Oseyemi, Ahad Raza Mir, Pedro De Tavira, Ella Zieglmeier, Turlough Convery, Emily Child, George Jackos, Ayushi Chhabra, Mpho Osei Tutu, Edward J. Pepperell, Kristin Trisha","Action, Horror, Sci-Fi, Thriller",Germany,English,"Constantin Television, Moonlighting Films",https://www.imdb.com/title/tt9660182/?ref_=sr_i_1133
The Idol,"(2023, None)",TV-MA,276.0,4.4,113000,1,"Reza Fahim, Sam Levinson, The Weeknd","The Weeknd, Lily-Rose Depp, Suzanna Son, Troye Sivan, Jane Adams, Jennie Kim, Rachel Sennott, Hari Nef, Moses Sumney, Da'Vine Joy Randolph, Ramsey, Hank Azaria, Mitch Modes, Bianca Ghezzi, Eli Roth, Sophie Mudd, Montay Romero, Kat Cheng","Drama, Music",United States,English,"A24 Television, A24, BRON Studios",https://www.imdb.com/title/tt14954666/?ref_=sr_i_1132
Tandav,"(2021, None)",TV-14,30.0,4.6,61000,0,Ali Abbas Zafar,"Saif Ali Khan, Dimple Kapadia, Mohd. Zeeshan Ayyub, Sunil Grover, Kritika Kamra, Sarah Jane Dias, Tasneem Khan, Kritikka Avasthi, Vikhyat Gulati, Bhoomika Meena, Niharika Kundu, Bhavna Choudhary, Gaurav Parajuli, Jatin Sharma, Indra Mohan Singh, Kunal Gupta, Latin Ghai, Dino Morea","Drama, Thriller",India,Hindi,"Offside Entertainment, NSA Picture, AAZ Films",https://www.imdb.com/title/tt11117570/?ref_=sr_i_1131
Racket Boys,"(2021, None)",TV-14,80.0,4.7,28000,0,,"Kim Sang-kyung, Oh Na-ra, Tang Joon-sang, Son Sang-yeon, Choi Hyun-wook, Kim Kang-hoon, Lee Jae-in, Lee Ji-won, Park Ok-chool, Woo Hyeon, Shin Jeong-geun, Cha Mi-kyung, Ahn Se-bin, Kim Min-Ki, Park Hyo-ju, Jeong Mi-Seong, Shin Cheol-jin, Choi Dae-hoon","Comedy, Drama, Sport",South Korea,Korean,"PAN Entertainment, Studio S",https://www.imdb.com/title/tt14482414/?ref_=sr_i_1130
Inhumans,"(2017, None)",TV-PG,43.0,4.9,29000,0,Scott Buck,"Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor, Isabelle Cornish, Ellen Woglom, Iwan Rheon, Sonya Balmores, Henry Ian Cusick, Ari Dalbert, Krista Alvarez, Aaron Hendry, Faleolo Alailima, Bridger Zadina, Ptolemy Slocum, Lofton Shaw, Chad James Buchanan, Mike Moh","Action, Adventure, Sci-Fi",United States,English,"ABC Signature, Disney-ABC Domestic Television, IMAX",https://www.imdb.com/title/tt4154858/?ref_=sr_i_1129
